Student_ID,First_Name,Last_Name,Attendance ,Assignments_Avg,Participation_Score
S1000,Omar,Williams,52.29,84.22,3.99
S1001,Maria,Brown,97.27,,8.32
S1002,Ahmed,Jones,57.19,67.7,5.05
S1003,Omar,Williams,95.15,66.06,6.54
S1004,John,Smith,54.18,96.85,5.97
S1005,Liam,Brown,,71.4,6.38
S1006,Ahmed,Jones,57.6,84.52,2.3
S1007,Ahmed,Smith,51.91,80.12,3.73
S1008,Omar,Smith,85.97,57.05,0.51
S1009,Sara,Smith,64.01,96.98,5.88
S1010,John,Smith,85.72,67.29,4.59
S1011,Omar,Williams,77.75,52.24,7.61
S1012,John,Davis,55.44,65.02,2.06
S1013,John,Williams,96.61,66.78,4.37
S1014,Liam,Williams,72.62,54.64,1.81
S1015,Ahmed,Jones,86.72,81,6.14
S1016,Maria,Jones,75.05,67.34,8.48
S1017,Liam,Davis,80.22,81.46,7.65
S1018,Liam,Jones,65.14,50.34,9.44
S1019,John,Johnson,60.02,99.1,9.72
S1020,Emma,Davis,77.13,,7.72
S1021,Ahmed,Jones,72.01,82.97,2.87
S1022,Sara,Davis,69.51,85.79,2.19
S1023,Liam,Williams,83.63,58.58,4.48
S1024,Maria,Williams,84.53,55.59,9.94
S1025,Emma,Davis,52.3,57.63,4.13
S1026,Emma,Johnson,66.94,62.34,1.99
S1027,Sara,Johnson,70.59,58.41,9.44
S1028,Liam,Davis,54.84,83.7,3.86
S1029,Maria,Jones,61.8,71.04,6.91
S1030,Ahmed,Brown,52.58,76.89,7.88
S1031,Ali,Johnson,99.81,52.37,8.43
S1032,Maria,Smith,,93.06,8.21
S1033,Sara,Williams,54.37,58.53,8.36
S1034,Emma,Davis,51.01,68.01,6.68
S1035,Ahmed,Smith,85.96,53.6,4.04
S1036,Maria,Davis,71.96,56.84,6.67
S1037,Ali,Williams,89.34,83.29,8.37
S1038,Ali,Williams,96.17,84.63,3.51
S1039,John,Johnson,79.97,83.85,2.97
S1040,John,Johnson,59.36,77.61,3.44
S1041,Omar,Smith,89.11,97.63,5.51
S1042,Sara,Davis,97.79,75.36,0.52
S1043,Liam,Williams,79.01,72.47,7.79
S1044,Maria,Smith,84.1,62.38,1.39
S1045,Maria,Brown,66.87,54.94,1.33
S1046,Liam,Smith,,77.41,1.98
S1047,Omar,Jones,86.73,65.74,5.77
S1048,Emma,Smith,96.39,76.2,2.86
S1049,Emma,Jones,81.45,60.31,3.68
S1050,Omar,Jones,89.49,91.91,9.32
S1051,Emma,Jones,58.58,99.98,8.47
S1052,John,Brown,60.6,66.12,8.52
S1053,Maria,Smith,76.6,92.12,5.78
S1054,Omar,Smith,,93.65,8.66
S1055,Maria,Brown,81.75,,7.79
S1056,Liam,Williams,64.58,67.14,9.53
S1057,Ali,Johnson,89.58,87.8,0.64
S1058,John,Smith,90.41,61.44,0.29
S1059,Ahmed,Johnson,73.19,81.24,1.75
S1060,John,Davis,59.04,85.24,9.29
S1061,Omar,Davis,82.34,,6.06
S1062,Ahmed,Brown,99.64,60.36,4.26
S1063,Ali,Davis,81.13,92.44,5.13
S1064,Omar,Davis,51.79,71.05,8.3
S1065,Sara,Williams,50.86,60.82,9.29
S1066,Maria,Williams,66.02,77.13,7.3
S1067,Ali,Williams,59.79,93.17,7.6
S1068,Maria,Davis,90.65,98.35,3.2
S1069,Emma,Brown,92.24,87.41,4.67
S1070,Sara,Jones,62.93,50.28,8.85
S1071,Sara,Jones,66.28,56.74,7.86
S1072,Ali,Johnson,61.81,53.81,6.84
S1073,Sara,Jones,95.42,55.06,0.65
S1074,Ahmed,Jones,75.13,69.15,0.4
S1075,Sara,Williams,82.81,66.92,1.3
S1076,Maria,Williams,70.77,,5.81
S1077,Maria,Davis,81.55,94.11,5.36
S1078,Omar,Johnson,69.29,80.77,9.43
S1079,Maria,Smith,66.98,,6.95
S1080,Omar,Johnson,81.72,,2.94
S1081,Maria,Johnson,,70.51,1.61
S1082,Ahmed,Brown,,65.88,8.5
S1083,Liam,Davis,57.47,71.92,4.6
S1084,Omar,Brown,68.43,80.52,6.53
S1085,John,Johnson,70.76,74.65,5.65
S1086,Emma,Johnson,81.43,91.9,1.07
